aekgvangq 雅量 
yaemzrwg 肃静；安静
yaenqdoz 印图
yaenqfat 印发
yaenqnyumx 印染
yaenqsaw 印字
yaenqsiengq 印象
yaenqsoq 印数
yaengdingh 议定；商定
yaeuhlox ①诱骗；哄骗；欺骗。②引诱。
yakdingq 难听
yakrwix 凶恶
yamqdin 步伐
yamqhaeuj 迈进
yathamj 跨
yauqik 效益
yauqlig 效力
yauqwngq 效应
yauqyungh 效用
yawjbaenz 看成
yawjcit 看淡
yawjnaek 看重；重视
yawh'anq 预案
yawhbwh 预备；准备
yawhcei 预支
yawhdiuz 预调 
yawhfuengz 预防
yawhgai 预售
yawhgeiz 预期
yawhgeiq 预计
yawhgingj 预警
yawhguj 预估
yawhliuh 预料
yawhlouz 预留
yawhrox 预知
yawhsaemj 预审
yawhsenj 预选
yawhsien 预先
yawhsou 预收
yawhsuenq 预算
yiebmax 页码
yiebmienh 页面
yiedcingz 热情
yiemzguenj 严管
yiemzmaed 严密
yiendoengh 牵动
yienhcienz 现钱
yienhda 显赫
yienghceij 模样；姿态
yienghmoq 新型
yinxdoeng 疏导
youzgwg 重（稠）油
youzraemxmok 地沟油 
youqsienq 在线
yukluenh 煽乱
yukyon 唆使；挑动
ywcim 针剂
ywdoihduz 兽药 
ywnohcing 瘦肉精
